com_id,common_name,scientific_name,genus,family,date_planted,age_description,latitude,longitude
1054551,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78706066,144.9434958
1054552,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78712249,144.9434697
1054553,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78712964,144.9434106
1054554,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7871601,144.9433073
1054555,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78718288,144.9432471
1054561,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78701071,144.9432946
1054562,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78700791,144.9432682
1054564,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78714061,144.9430944
1054582,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78667012,144.94305
1054583,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78667793,144.9430987
1054590,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78674105,144.9432298
1054592,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78679582,144.9431409
1054594,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78683092,144.9432901
1054599,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78705205,144.9438031
1054601,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78701939,144.9437933
1054602,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78701503,144.943811
1054605,Silky Oak,Grevillea robusta,Grevillea,Proteaceae,1/01/1900,Mature,-37.78719704,144.9440296
1054610,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78693608,144.9437672
1054611,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78650722,144.9438251
1054613,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,1/01/1900,Mature,-37.78640173,144.9436341
1054614,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,1/01/1900,Mature,-37.78638268,144.9436803
1054618,Silky Oak,Grevillea robusta,Grevillea,Proteaceae,1/01/1900,Mature,-37.78690547,144.9442081
1054641,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78663522,144.9444976
1054642,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78667137,144.9444679
1054645,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78669029,144.9445865
1054653,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78681522,144.9447758
1054657,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78694367,144.9449252
1054670,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7875768,144.9441432
1054684,Bangalay,Eucalyptus botryoides,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78631894,144.9446552
1054688,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78611669,144.9444008
1054696,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78588494,144.9442891
1054714,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.78527743,144.9450146
1054727,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.78055036,144.9508811
1054729,Swamp Gum,Eucalyptus rudis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.780426,144.9507261
1054733,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78020077,144.9503349
1054734,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78016234,144.9503337
1054736,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78004691,144.9501387
1054738,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78002972,144.9501095
1054742,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77983321,144.9498563
1054743,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,1/01/1900,Mature,-37.77972642,144.9497009
1054744,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77969614,144.9496319
1054748,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77951256,144.9492969
1054750,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77935476,144.9491877
1054751,Lightwood Wattle,Acacia implexa,Acacia,Fabaceae,1/01/1900,Mature,-37.77931703,144.9491884
1054755,Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77961778,144.9497498
1054756,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.77954973,144.9496978
1054758,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77945902,144.949483
1054759,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77942276,144.9495376
1054762,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77934455,144.9494293
1054763,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77940599,144.9493869
1054764,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77933463,144.9492779
1054765,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77922631,144.9494683
1054768,Fringe Wattle,Acacia fimbriata,Acacia,Fabaceae,1/01/1900,Mature,-37.77926636,144.9493122
1054776,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.77918506,144.9492115
1054778,Snow-in-Summer,Melaleuca linariifolia,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.77893255,144.9491102
1054779,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,1/01/1900,Mature,-37.77892921,144.9493323
1054780,Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77895542,144.9494145
1054785,Gossamer Wattle,Acacia floribunda,Acacia,Fabaceae,1/01/1900,Mature,-37.77869818,144.9493462
1054791,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77889621,144.9500963
1054838,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.77748648,144.9496168
